상권배후지_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
3111090,710416,337687,372729,164611,64757,97219,127706,94255,161868,201151,150060,73227,71565,112076,102339,102740,102178,101398,100488,100417,100526,102670
3111089,1587171,763435,823738,265845,156413,245924,292346,255553,371092,400589,344077,197194,184359,260045,200909,231506,231455,229949,231898,230829,214942,216594
3111088,1334836,641054,693782,261481,121465,202628,242257,189245,317759,348825,307524,160895,150586,204265,162742,189649,191588,190437,190603,191770,190557,190233
3111087,652128,330007,322121,121682,59696,89162,115478,96192,169918,185984,145368,72851,67710,93367,86850,94352,93828,95150,94882,92816,90460,90639
3111086,793103,366580,426523,223239,67907,72838,127000,106746,195374,207914,163094,90715,89096,131589,110694,113923,114354,112306,113641,114770,111816,112293
3111085,1642744,813844,828900,442218,139514,197374,272436,239820,351383,429255,348104,194273,199397,265251,206465,231887,230938,233555,232386,230088,241125,242766
3111084,3100667,1436099,1664568,624841,319591,437630,461029,465043,792534,995045,668677,317728,292039,417868,409310,439726,435716,434545,432577,430740,455636,471727
3111083,5498236,2531571,2966666,1051276,580721,731905,814434,854541,1465360,1550770,1133599,608695,601449,872222,731501,775679,771458,774690,768857,770941,806708,829904
3111082,1418616,671545,747072,274086,156595,191231,203507,224168,369030,423101,296468,146749,140610,212742,198948,200339,201049,202309,198963,199122,203857,212976
3111081,2319210,1079931,1239279,435188,249836,310738,337392,366297,619757,620702,463893,261111,267621,392855,313030,326388,325733,328357,324252,326085,340037,348358
3111080,3534774,1554241,1980532,593937,398578,466778,542509,546904,986068,815630,708992,420692,443703,672588,473168,484187,484042,497661,487149,496531,526068,559134
3111079,3741530,1802507,1939024,743742,404647,513486,574024,578405,927225,1001961,803213,448701,431189,579627,476841,537601,536107,537710,533775,534144,525328,536862
3111078,10295486,4690947,5604539,1646700,1185012,1531658,1572864,1561692,2797558,2935723,2130767,1148205,1131094,1604131,1345565,1450170,1442626,1447332,1441832,1442464,1517527,1553532
3111077,13206068,6091598,7114470,2054372,1566301,1942679,2050508,2071543,3520667,3508086,2699894,1564373,1563862,2168441,1701410,1864207,1862529,1870080,1867449,1873810,1928007,1939986
