상권배후지_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
3130201,27,17,10,0,2,8,10,7,0,0,0,7,6,4,0,0,2,1,4,3,0
3110804,312,187,125,0,15,37,62,63,135,0,4,15,29,35,104,0,11,22,33,28,31
3110510,100,59,41,0,10,14,33,27,16,0,5,6,22,14,12,0,5,8,11,13,4
3130221,188,69,119,0,22,32,50,57,27,0,5,5,15,22,22,0,17,27,35,35,5
3110658,253,153,100,0,21,55,62,69,46,0,10,35,36,44,28,0,11,20,26,25,18
3130180,59,34,25,0,13,11,15,6,14,0,4,4,11,5,10,0,9,7,4,1,4
3110521,63,36,27,0,4,7,19,17,16,0,0,4,10,9,13,0,4,3,9,8,3
3130142,7,5,2,0,1,1,0,2,3,0,0,1,0,2,2,0,1,0,0,0,1
3110721,215,104,111,1,6,36,42,42,88,0,2,19,17,22,44,1,4,17,25,20,44
3110529,125,58,67,0,13,20,27,25,40,0,2,5,8,14,29,0,11,15,19,11,11
3130177,44,7,37,0,1,1,8,7,27,0,0,0,1,3,3,0,1,1,7,4,24
3110589,46,13,33,0,3,3,15,11,14,0,0,1,4,6,2,0,3,2,11,5,12
3110703,307,192,115,4,28,54,91,77,53,3,16,30,54,49,40,1,12,24,37,28,13
3130195,1040,502,538,2,201,267,226,153,191,1,86,132,121,88,74,1,115,135,105,65,117
3130186,143,53,90,0,9,23,40,41,30,0,6,11,14,10,12,0,3,12,26,31,18
3110706,410,100,310,0,122,101,101,68,18,0,22,20,28,20,10,0,100,81,73,48,8
3110701,567,379,188,2,126,185,125,92,37,0,81,133,82,54,29,2,45,52,43,38,8
3110542,3997,2442,1555,16,527,714,775,1304,661,9,297,578,604,586,368,7,230,136,171,718,293
3110709,185,108,77,0,19,22,56,51,37,0,14,13,36,29,16,0,5,9,20,22,21
3120098,8846,5391,3455,19,1691,3228,2856,875,177,11,813,1995,1821,616,135,8,878,1233,1035,259,42
3110561,395,247,148,4,59,102,94,89,47,2,21,56,64,68,36,2,38,46,30,21,11
3130191,367,225,142,6,65,65,81,82,68,4,40,41,54,47,39,2,25,24,27,35,29
3110552,637,465,172,1,110,159,145,158,64,0,72,120,98,128,47,1,38,39,47,30,17
3110553,281,167,114,0,26,51,79,81,44,0,16,28,44,43,36,0,10,23,35,38,8
3110570,61,39,22,0,4,22,18,12,5,0,4,13,10,7,5,0,0,9,8,5,0
3130193,34,19,15,0,4,7,12,5,6,0,1,5,5,4,4,0,3,2,7,1,2
3110624,379,232,147,0,93,117,75,63,31,0,40,79,46,48,19,0,53,38,29,15,12
3110626,652,271,381,1,127,138,149,147,90,0,37,57,76,63,38,1,90,81,73,84,52
3110620,458,241,217,4,51,85,105,125,88,4,20,48,50,65,54,0,31,37,55,60,34
3120111,1828,710,1118,1,551,601,341,219,115,0,101,248,161,116,84,1,450,353,180,103,31
3130202,40,13,27,0,3,4,13,16,4,0,2,0,3,6,2,0,1,4,10,10,2
3110606,544,307,237,1,49,83,152,152,107,1,26,44,84,72,80,0,23,39,68,80,27
3110613,80,20,60,0,8,25,24,19,4,0,2,6,7,4,1,0,6,19,17,15,3
3110657,3180,2118,1062,12,334,603,741,695,795,8,191,396,493,385,645,4,143,207,248,310,150
3110648,13,5,8,0,1,7,1,3,1,0,0,3,1,1,0,0,1,4,0,2,1
3110671,4521,2889,1632,8,1208,1381,956,636,332,2,375,916,788,522,286,6,833,465,168,114,46
3130214,119,44,75,2,23,18,25,33,18,0,6,7,9,13,9,2,17,11,16,20,9
3110668,471,278,193,0,55,70,139,127,80,0,22,33,81,77,65,0,33,37,58,50,15
3110646,754,384,370,1,92,113,198,187,163,1,26,47,97,99,114,0,66,66,101,88,49
3110716,666,398,268,1,132,256,164,77,36,0,39,154,115,60,30,1,93,102,49,17,6
3120125,9531,6476,3055,29,1115,2177,2439,2305,1466,14,646,1505,1615,1580,1116,15,469,672,824,725,350
3110693,17,9,8,0,1,3,5,4,4,0,1,3,2,2,1,0,0,0,3,2,3
3110741,444,159,285,0,69,117,96,108,54,0,43,35,26,33,22,0,26,82,70,75,32
