,상권배후지_코드,상권배후지_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,총_직장_인구_수,총_유동_인구_수,총_유동인구_수
0,3110001,이북5도청사,,노래방,0,1048.0,363858.0,
5,3110001,이북5도청사,CS200028,미용실,145524074,1048.0,,363858.0
0,3110001,이북5도청사,,반찬가게,0,1048.0,363858.0,
0,3110001,이북5도청사,,부동산중개업,0,1048.0,363858.0,
1,3110001,이북5도청사,CS100008,분식전문점,153627808,1048.0,,363858.0
0,3110001,이북5도청사,,슈퍼마켓,0,1048.0,363858.0,
0,3110001,이북5도청사,,양식음식점,0,1048.0,363858.0,
0,3110001,이북5도청사,,예술학원,0,1048.0,363858.0,
8,3110001,이북5도청사,CS300007,육류판매,173718426,1048.0,,363858.0
0,3110001,이북5도청사,,의약품,0,1048.0,363858.0,
4,3110001,이북5도청사,CS200001,일반교습학원,47135947,1048.0,,363858.0
9,3110001,이북5도청사,CS300011,일반의류,7627685,1048.0,,363858.0
0,3110001,이북5도청사,,일반의원,0,1048.0,363858.0,
0,3110001,이북5도청사,,전자상거래업,0,1048.0,363858.0,
3,3110001,이북5도청사,CS100010,커피-음료,2849056,1048.0,,363858.0
0,3110001,이북5도청사,,컴퓨터및주변장치판매,0,1048.0,363858.0,
0,3110001,이북5도청사,,피부관리실,0,1048.0,363858.0,
0,3110001,이북5도청사,CS100001,한식음식점,880008619,1048.0,,363858.0
2,3110001,이북5도청사,CS100009,호프-간이주점,259016624,1048.0,,363858.0
0,3110001,이북5도청사,,화장품,0,1048.0,363858.0,
0,3110002,독립문역 1번,,노래방,0,475.0,1613188.0,
17,3110002,독립문역 1번,CS200028,미용실,36601154,475.0,,1613188.0
0,3110002,독립문역 1번,,반찬가게,0,475.0,1613188.0,
0,3110002,독립문역 1번,,부동산중개업,0,475.0,1613188.0,
0,3110002,독립문역 1번,,분식전문점,0,475.0,1613188.0,
0,3110002,독립문역 1번,,슈퍼마켓,0,475.0,1613188.0,
0,3110002,독립문역 1번,,양식음식점,0,475.0,1613188.0,
15,3110002,독립문역 1번,CS200003,예술학원,11449756,475.0,,1613188.0
0,3110002,독립문역 1번,,육류판매,0,475.0,1613188.0,
19,3110002,독립문역 1번,CS300018,의약품,3843065375,475.0,,1613188.0
13,3110002,독립문역 1번,CS200001,일반교습학원,406202413,475.0,,1613188.0
0,3110002,독립문역 1번,,일반의류,0,475.0,1613188.0,
0,3110002,독립문역 1번,,일반의원,0,475.0,1613188.0,
0,3110002,독립문역 1번,,전자상거래업,0,475.0,1613188.0,
12,3110002,독립문역 1번,CS100010,커피-음료,11540666,475.0,,1613188.0
0,3110002,독립문역 1번,,컴퓨터및주변장치판매,0,475.0,1613188.0,
0,3110002,독립문역 1번,,피부관리실,0,475.0,1613188.0,
10,3110002,독립문역 1번,CS100001,한식음식점,608192952,475.0,,1613188.0
0,3110002,독립문역 1번,,호프-간이주점,0,475.0,1613188.0,
20,3110002,독립문역 1번,CS300022,화장품,200567154,475.0,,1613188.0
34,3110003,세검정초등학교,CS200037,노래방,27458887,607.0,,1047583.0
31,3110003,세검정초등학교,CS200028,미용실,200080383,607.0,,1047583.0
37,3110003,세검정초등학교,CS300010,반찬가게,8394846,607.0,,1047583.0
0,3110003,세검정초등학교,,부동산중개업,0,607.0,1047583.0,
24,3110003,세검정초등학교,CS100008,분식전문점,253318693,607.0,,1047583.0
0,3110003,세검정초등학교,,슈퍼마켓,0,607.0,1047583.0,
0,3110003,세검정초등학교,,양식음식점,0,607.0,1047583.0,
28,3110003,세검정초등학교,CS200003,예술학원,87325165,607.0,,1047583.0
36,3110003,세검정초등학교,CS300007,육류판매,173718426,607.0,,1047583.0
0,3110003,세검정초등학교,,의약품,0,607.0,1047583.0,
27,3110003,세검정초등학교,CS200001,일반교습학원,475349997,607.0,,1047583.0
38,3110003,세검정초등학교,CS300011,일반의류,137634255,607.0,,1047583.0
