,상권배후지_코드,상권배후지_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,총_직장_인구_수,총_유동인구_수
0,3110001,이북5도청사,CS100001,한식음식점,880008619,1048.0,363858.0
1,3110001,이북5도청사,CS100008,분식전문점,153627808,1048.0,363858.0
2,3110001,이북5도청사,CS100009,호프-간이주점,259016624,1048.0,363858.0
3,3110001,이북5도청사,CS100010,커피-음료,2849056,1048.0,363858.0
4,3110001,이북5도청사,CS200001,일반교습학원,47135947,1048.0,363858.0
5,3110001,이북5도청사,CS200028,미용실,145524074,1048.0,363858.0
6,3110001,이북5도청사,CS300002,편의점,318386990,1048.0,363858.0
7,3110001,이북5도청사,CS300006,미곡판매,3543700,1048.0,363858.0
8,3110001,이북5도청사,CS300007,육류판매,173718426,1048.0,363858.0
9,3110001,이북5도청사,CS300011,일반의류,7627685,1048.0,363858.0
10,3110002,독립문역 1번,CS100001,한식음식점,608192952,475.0,1613188.0
11,3110002,독립문역 1번,CS100005,제과점,465048185,475.0,1613188.0
12,3110002,독립문역 1번,CS100010,커피-음료,11540666,475.0,1613188.0
13,3110002,독립문역 1번,CS200001,일반교습학원,406202413,475.0,1613188.0
14,3110002,독립문역 1번,CS200002,외국어학원,7993232,475.0,1613188.0
15,3110002,독립문역 1번,CS200003,예술학원,11449756,475.0,1613188.0
16,3110002,독립문역 1번,CS200007,치과의원,201504833,475.0,1613188.0
17,3110002,독립문역 1번,CS200028,미용실,36601154,475.0,1613188.0
18,3110002,독립문역 1번,CS300002,편의점,1737276617,475.0,1613188.0
19,3110002,독립문역 1번,CS300018,의약품,3843065375,475.0,1613188.0
20,3110002,독립문역 1번,CS300022,화장품,200567154,475.0,1613188.0
21,3110003,세검정초등학교,CS100001,한식음식점,941132165,607.0,1047583.0
22,3110003,세검정초등학교,CS100005,제과점,113516931,607.0,1047583.0
23,3110003,세검정초등학교,CS100006,패스트푸드점,49909864,607.0,1047583.0
24,3110003,세검정초등학교,CS100008,분식전문점,253318693,607.0,1047583.0
25,3110003,세검정초등학교,CS100009,호프-간이주점,271512038,607.0,1047583.0
26,3110003,세검정초등학교,CS100010,커피-음료,124574532,607.0,1047583.0
27,3110003,세검정초등학교,CS200001,일반교습학원,475349997,607.0,1047583.0
28,3110003,세검정초등학교,CS200003,예술학원,87325165,607.0,1047583.0
29,3110003,세검정초등학교,CS200006,일반의원,221148546,607.0,1047583.0
30,3110003,세검정초등학교,CS200008,한의원,147806857,607.0,1047583.0
31,3110003,세검정초등학교,CS200028,미용실,200080383,607.0,1047583.0
32,3110003,세검정초등학교,CS200031,세탁소,39207451,607.0,1047583.0
33,3110003,세검정초등학교,CS200034,여관,49313547,607.0,1047583.0
34,3110003,세검정초등학교,CS200037,노래방,27458887,607.0,1047583.0
35,3110003,세검정초등학교,CS300002,편의점,849849528,607.0,1047583.0
36,3110003,세검정초등학교,CS300007,육류판매,173718426,607.0,1047583.0
37,3110003,세검정초등학교,CS300010,반찬가게,8394846,607.0,1047583.0
38,3110003,세검정초등학교,CS300011,일반의류,137634255,607.0,1047583.0
39,3110004,대신고등학교,CS100001,한식음식점,571609911,32.0,4011210.0
40,3110004,대신고등학교,CS100007,치킨전문점,7691419,32.0,4011210.0
41,3110004,대신고등학교,CS100008,분식전문점,4618815,32.0,4011210.0
42,3110004,대신고등학교,CS100010,커피-음료,18697313,32.0,4011210.0
43,3110004,대신고등학교,CS200001,일반교습학원,113795050,32.0,4011210.0
44,3110004,대신고등학교,CS200003,예술학원,4487659,32.0,4011210.0
45,3110004,대신고등학교,CS200006,일반의원,803845,32.0,4011210.0
46,3110004,대신고등학교,CS200008,한의원,118116783,32.0,4011210.0
47,3110004,대신고등학교,CS200028,미용실,77124247,32.0,4011210.0
48,3110004,대신고등학교,CS300001,슈퍼마켓,96242043,32.0,4011210.0
49,3110004,대신고등학교,CS300002,편의점,180403341,32.0,4011210.0
50,3110004,대신고등학교,CS300007,육류판매,300788869,32.0,4011210.0
51,3110004,대신고등학교,CS300010,반찬가게,33000000,32.0,4011210.0
52,3110004,대신고등학교,CS300011,일반의류,15000000,32.0,4011210.0
53,3110004,대신고등학교,CS300018,의약품,64868314,32.0,4011210.0
54,3110004,대신고등학교,CS300021,문구,5224569,32.0,4011210.0
55,3110004,대신고등학교,CS300033,철물점,44136858,32.0,4011210.0
56,3110005,세검정,CS100001,한식음식점,322436284,1057.0,540389.0
57,3110005,세검정,CS100008,분식전문점,76643037,1057.0,540389.0
58,3110005,세검정,CS100009,호프-간이주점,18436294,1057.0,540389.0
59,3110005,세검정,CS100010,커피-음료,34239596,1057.0,540389.0
60,3110005,세검정,CS200001,일반교습학원,428214050,1057.0,540389.0
61,3110005,세검정,CS200003,예술학원,73918648,1057.0,540389.0
62,3110005,세검정,CS200005,스포츠 강습,131646539,1057.0,540389.0
63,3110005,세검정,CS200025,자동차수리,55619419,1057.0,540389.0
64,3110005,세검정,CS200028,미용실,54556309,1057.0,540389.0
65,3110005,세검정,CS200031,세탁소,35631584,1057.0,540389.0
66,3110005,세검정,CS200034,여관,1137685,1057.0,540389.0
67,3110005,세검정,CS300002,편의점,531462538,1057.0,540389.0
68,3110005,세검정,CS300010,반찬가게,8394846,1057.0,540389.0
69,3110005,세검정,CS300011,일반의류,130006570,1057.0,540389.0
70,3110005,세검정,CS300028,화초,5183472,1057.0,540389.0
71,3110006,부암동주민센터,CS100001,한식음식점,63330672,27.0,135447.0
72,3110006,부암동주민센터,CS100004,양식음식점,285774144,27.0,135447.0
73,3110006,부암동주민센터,CS100006,패스트푸드점,140090106,27.0,135447.0
74,3110006,부암동주민센터,CS100009,호프-간이주점,4517949,27.0,135447.0
75,3110006,부암동주민센터,CS100010,커피-음료,78430495,27.0,135447.0
76,3110006,부암동주민센터,CS300001,슈퍼마켓,7783633,27.0,135447.0
77,3110006,부암동주민센터,CS300002,편의점,242502085,27.0,135447.0
78,3110006,부암동주민센터,CS300011,일반의류,12327090,27.0,135447.0
79,3110007,사직공원(한국사회과학도서관),CS100001,한식음식점,1005452855,283.0,4423322.0
80,3110007,사직공원(한국사회과학도서관),CS100004,양식음식점,38109378,283.0,4423322.0
